question	model_cohort	analysis	statistic	estimate	ci95	p	conclusion	figure	result_file
Does activation extremeness predict causal severity?	22 models	Spearman, activation ratio vs signed rel. loss eps=1.0	rho	0.766	[0.532, 0.884]	<1e-4	SUPPORTED: activation ratio calibrates severity, not merely enriches	fig_activation_ratio_vs_full_ablation	activation_vs_causality.tsv
Does it replicate on independent inputs?	22 models	Spearman, 24-input median ratio vs eps=1.0	rho	0.768	[0.534, 0.889]	<1e-4	SUPPORTED: not an artifact of the discovery input	fig_predictor_comparison_4panel	activation_vs_causality.tsv
Does ABSOLUTE activation predict severity?	22 models	Spearman, activation max vs eps=1.0	rho	0.375	[-0.063, 0.713]	0.085	NOT SUPPORTED: layer-relative normalisation is essential	fig_predictor_comparison_4panel	activation_vs_causality.tsv
Does q1 predict causal severity?	22 models	Spearman, q1 vs eps=1.0	rho	0.074	[-0.393, 0.524]	0.744	NOT SUPPORTED (null); unstable across cohorts	fig_predictor_comparison_4panel	activation_vs_causality.tsv
Does Frobenius predict causal severity?	22 models / 10 text-dec	Spearman, layer-rel Frobenius vs eps=1.0	rho	0.441 / -0.042	[0.068, 0.721] / n/a	0.040 / 0.907	NOT SUPPORTED: pooled signal vanishes in the homogeneous subset	fig_predictor_comparison_4panel	activation_vs_causality.tsv
Is the BOS effect BOS-specific or generic causal geometry?	GENERator-EUK-3B	single-position restoration, p in {0,1,2,4,8,16,32,64}	rescue fraction	0.9996 at p=0; 0.0111 at p=1	[0.998,1.002] / [0.001,0.021]	n/a	SUPPORTED: 90x drop from p=0 to p=1 while accessibility falls 1.2%	generator_position_rescue_curve	generator_position_rescue.tsv
Does the effect follow BOS identity or position 0?	GENERator-EUK-3B	4 tokenisation conditions, add_special_tokens=False	activation at pos0	43.09 (neutral) vs 354530 (BOS at pos1)	n/a	n/a	SUPPORTED: follows BOS token identity; 8228x gap	n/a	generator_bos_identity_vs_position.tsv
Is BOS an attention sink after causal-mask normalisation?	GENERator-EUK-3B	S_BOS / mean_i[1/(i+1)], 24 windows	fold enrichment	7.90	n/a	n/a	SUPPORTED: 7.90x correct baseline; 82.9% of layer-heads >2x	generator_bos_attention_heatmap	generator_attention_sink.tsv
Does L4/r2371 causally support the sink?	GENERator-EUK-3B	sink under 6 frozen interventions	fold enrichment	7.90 intact -> 10.24 ablated	n/a	n/a	NOT SUPPORTED as written: ablation INCREASES sink 30%; row attenuates it	generator_attention_sink	generator_attention_sink.tsv
Is the GC phenotype direction-specific or generic damage?	GENERator-EUK-3B	20 damage-matched random directions	frac reproducing GC shift	1.00 (20/20)	GC 0.3505 +- 0.0070	n/a	SUPPORTED: generic damage-linked; learned direction not required	n/a	generator_random_direction_replicates.tsv
Is the DNABERT pair interaction compensatory?	DNABERT-2-117M	cross-ablation activation change	ratio	1.0000 / 1.0000	n/a	n/a	FALSIFIED: no compensation; survivor activation unchanged	n/a	dnabert_pair_mechanism.tsv
Are the two DNABERT rows structurally redundant?	DNABERT-2-117M	cosine of down_proj rows vs 500 random same-layer pairs	cosine	-0.1876	random 0.0008 +- 0.0538	z=3.50	NOT redundant: significantly ANTI-aligned, yet co-activate r=0.9986	na	dnabert_pair_mechanism.tsv
Is the +698% effect real or a denominator artifact?	SmolLM2-1.7B	extreme-effect audit	baseline loss	2.6145	n/a	n/a	REAL: baseline in normal range; not a tiny denominator	n/a	extreme_effect_audit.tsv
Do correlations survive family de-duplication?	12 families	one-per-family, 2000 resamples	rho (activation ratio)	0.766	[0.629, 0.881]	P(rho>0)=1.00	SUPPORTED: stable; q1/Frobenius unstable across cohorts	n/a	family_clustered_sensitivity.tsv
Is the ratio>5 threshold near a natural boundary?	22 models	median activation ratio distribution	min median ratio	10.42	range 10.4-7124	n/a	Threshold non-critical here: all 22 models exceed even >10	n/a	threshold_sensitivity.json
Are frozen candidates stable across inputs?	22 models x 24 inputs	same-layer rank	frac rank 1	1.000	528/528	n/a	SUPPORTED exactly as claimed	n/a	input_stability.tsv
Is the high-gain phenotype special-token dependent?	GENERator EUK+PROK vs DNABERT-2	activation ratio, default vs add_special_tokens=False	ratio collapse factor	1.00x (decoders) vs 25-129x (DNABERT-2)	n/a	n/a	ARCHITECTURE DISSOCIATION: decoder phenotype survives; encoder phenotype is entirely special-token dependent	n/a	special_token_dependence.tsv
Is the learned direction recoverable from structure?	GENERator-EUK-3B	6 replacement families x 3 scales at matched norm	frac of ablation damage	0.97-1.02x at matched norm	n/a	n/a	NOT recoverable: every structural replacement is as damaging as deletion	n/a	generator_matched_replacements.tsv
Does magnitude alone restore function?	GENERator-EUK-3B	sign-flipped row at 2x norm	frac of ablation damage	0.15	cos to row -0.033	n/a	85% of damage avoided by a near-orthogonal vector with the row's magnitude profile at 2x norm	n/a	generator_matched_replacements.tsv
Does damage scale with activation ratio WITHIN a model?	GENERator-EUK-3B L4, 36 rows	Spearman(ratio, rel damage), model-level factors fixed	rho	0.454	[0.077, 0.760]	0.0054	Enrichment + correct ordering SUPPORTED; linear calibration NOT supported (top 2 of 3072 rows carry all damage)	n/a	within_model_slope.tsv
Does the uniform selection rule change the candidate?	DNABERT-2, NTv3	global ratio-argmax vs frozen coordinate	frozen global rank	11 (DNABERT-2) / 1 (NTv3)	n/a	n/a	DNABERT-2 mis-selected (uniform candidate MORE damaging, +0.107 vs -0.132); NTv3 compliant under multi-probe	n/a	uniform_detector_sensitivity.tsv
Does special-token handling change the argmax COORDINATE?	DNABERT-2	global ratio-argmax, default vs no-special	coordinate	L8/r603 -> L9/r264	n/a	n/a	Yes: handling changes both magnitude (25-129x) and location; must be declared and reported both ways	n/a	special_token_dependence.tsv
