model,candidate_layer,candidate_row,candidate_source,selection_rule,frozen_candidate_is_ratio_argmax,frozen_candidate_is_activation_argmax,requested_revision,resolved_revision,revision_recoverable,note
Llama-7B,2,3968,results/experiments/E7/e7_legacy_reanalysis.json,"activation-argmax (grandfathered, pre-ratio-rule protocol; e7_legacy_reanalysis.json carries no ratio field at all)","NOT FOUND (not verified this audit -- would require a full per-row detection re-run, not performed for the other 5 legacy models)",TRUE (by construction of the legacy selection method),unpinned (E5/E6 original),4782ad278652c7c71b72204d462d6d01eaaf7549,TRUE,Same legacy-source pattern as DNABERT-2; not independently re-verified against the current ratio rule in this audit
Mistral-7B,1,2070,results/experiments/E7/e7_legacy_reanalysis.json,"activation-argmax (grandfathered, pre-ratio-rule protocol; e7_legacy_reanalysis.json carries no ratio field at all)","NOT FOUND (not verified this audit -- would require a full per-row detection re-run, not performed for the other 5 legacy models)",TRUE (by construction of the legacy selection method),unpinned (E5/E6 original),27d67f1b5f57dc0953326b2601d68371d40ea8da,TRUE,Same legacy-source pattern as DNABERT-2; not independently re-verified against the current ratio rule in this audit
OLMo-7B-0724-hf,1,269,results/experiments/E7/e7_legacy_reanalysis.json,"activation-argmax (grandfathered, pre-ratio-rule protocol; e7_legacy_reanalysis.json carries no ratio field at all)","NOT FOUND (not verified this audit -- would require a full per-row detection re-run, not performed for the other 5 legacy models)",TRUE (by construction of the legacy selection method),unpinned (E5/E6 original),1ee306df318ee15bfe4a76ebd5c002b0105b1ab6,TRUE,Same legacy-source pattern as DNABERT-2; not independently re-verified against the current ratio rule in this audit
Qwen2.5-7B,26,458,results/experiments/E7/e7_phase1_detection_qwen25.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),d149729398750b98c0af14eb82c78cfe92750796,d149729398750b98c0af14eb82c78cfe92750796,TRUE,
MosaicBERT,9,287,results/e8_detection_mosaicbert.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),c89bbadc24278928f22bcdd7de6b61a5a2d08553,c89bbadc24278928f22bcdd7de6b61a5a2d08553,TRUE,
ModernBERT-base,15,251,results/e8_detection_modernbert.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),8949b909ec900327062f0ebf497f51aef5e6f0c8,8949b909ec900327062f0ebf497f51aef5e6f0c8,TRUE,
NTv3,11,1472,results/experiments/E7/e7_legacy_reanalysis.json,"activation-argmax (grandfathered, pre-ratio-rule protocol; e7_legacy_reanalysis.json carries no ratio field at all)","FALSE (verified round-2: frozen L11/r1472 is ratio_rank=3, ratio=23.17; true ratio-argmax is L6/r1472, ratio=30.63)",TRUE (by construction of the legacy selection method),unpinned (E5/E6 original),unpinned (E5/E6 original),FALSE (no resolved commit recorded),"Genuine activation-vs-ratio inconsistency with no downstream consequence (author-confirmed): L6/r1472 (ratio=30.63) vs frozen L11/r1472 (ratio=23.17), but q1 0.395 vs 0.389 changes nothing about NTv3's position as the cohort q1 minimum. Round-2: audit/rederivations/section3_ntv3_detector_recheck.json"
DNABERT-2,5,603,results/experiments/E7/e7_legacy_reanalysis.json,"activation-argmax (grandfathered, pre-ratio-rule protocol; e7_legacy_reanalysis.json carries no ratio field at all)","FALSE (this audit's diagnostic: ratio-argmax is L8/r603 at ratio 302.02, not the frozen L5/r603 at ratio 152.73)",TRUE (by construction of the legacy selection method),7bce263b15377fc15361f52cfab88f8b586abda0,7bce263b15377fc15361f52cfab88f8b586abda0,TRUE,"Fully reconciled in this audit -- see Section 6, DNABERT2_EXECUTION_PATH_DIAGNOSTIC.md"
GENERator-EUK-3B,4,2371,results/experiments/E7/e7_legacy_reanalysis.json,"activation-argmax (grandfathered, pre-ratio-rule protocol; e7_legacy_reanalysis.json carries no ratio field at all)","TRUE (verified round-2: ratio=7124.08, ratio_rank=1/n, identical under both add_special_tokens settings)",TRUE (by construction of the legacy selection method),7dc01bccce5b65e15141170538afdc2ff09d8dde,7dc01bccce5b65e15141170538afdc2ff09d8dde,TRUE,"Round-2 re-verified (audit/rederivations/section3_generator_euk_detector_recheck.json): both preprocessing conventions agree exactly, no discrepancy found; q1=0.968869 reproduces e7_legacy_reanalysis.json exactly"
GenomeOcean-4B,1,2604,results/experiments/E7/e7_phase1_detection_genomeocean.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),2bed2fc3ed47c5f6955ba3e64563512c9b338dfb,2bed2fc3ed47c5f6955ba3e64563512c9b338dfb,TRUE,
