analysis	model	revision	script	result_path	dataset	tokenizer	seed	endpoint	candidate	status
22-model singleton causal census	22 models (10 text-dec, 6 text-enc, 4 gen-dec, 2 gen-enc)	per-model hf_revision in census_master.csv	results/experiments/E13/part2_22_model_results.csv (source)	audit/census_master.csv	per-model eval pool, n_eval_units=100	per-model default (see detector_provenance.csv)	SeedSequence(42).spawn(23)[i]	causal_LM_NLL, eps=0.5 and 1.0 signed relative loss	frozen per-model (candidate_layer/row)	existing
activation-ratio detector provenance	22 models	see resolved_revision	(recorded)	audit/detector_provenance.csv	discovery input per family	per-model	n/a	ratio/activation argmax flags	frozen vs ratio-argmax vs activation-argmax	existing
exact Frobenius / operator norms	22 models	as census	scripts/analysis (e10_exact_uknorm_*)	audit/census_master.csv (frobenius_norm, layer_relative_frobenius)	weights only (data-free)	n/a	n/a	weight-space norm	frozen	existing
q1 spectral concentration	22 models	as census	scripts/analysis (e10_*_q1)	audit/census_master.csv (q1, PR_spec)	weights only	n/a	n/a	q1	frozen	existing
random same-layer controls (5/model)	22 models	as census	census pipeline	audit/census_master.csv (control_1..5_row, R_ctrl*)	same eval pool as candidate (paired)	per-model	control_seed_stream = SeedSequence(42).spawn(23)[i]	signed relative loss eps 0.5/1.0	5 random same-layer rows	existing
top-norm same-layer controls	22 models	as census	audit/scripts	audit/census_controls_structural.csv	same eval pool	per-model	deterministic (top-norm)	signed relative loss	max-Frobenius same-layer row	existing
24-input candidate stability assay	22 models x 24 inputs	as census	(E13 stability pipeline)	results/experiments/E13_candidate_stability/<slug>.json	24 independent inputs per model	per-model default	fixed input set	activation_max/median/ratio, rank, percentile, max_position	frozen	existing
GENERator EUK L4/r2371 ablation	GENERator-EUK-3B	see census_master (generator-euk-3b)	scripts/interpretability	results/E11	hg38 eval windows	GENERator 6-mer, BOS present	42	native causal-LM NLL	L4/r2371	existing
GENERator BOS-only / preserve-BOS / restore-BOS	GENERator-EUK-3B	see census_master (generator-euk-3b)	scripts/interpretability	results/E11	hg38 eval windows	GENERator 6-mer, BOS present	42	native causal-LM NLL	L4/r2371	existing
GENERator attention extraction	GENERator-EUK-3B	see census_master (generator-euk-3b)	scripts/interpretability	results/E12	hg38 eval windows	GENERator 6-mer, BOS present	42	native causal-LM NLL	L4/r2371	existing
GENERator random-direction replacement	GENERator-EUK-3B	see census_master (generator-euk-3b)	scripts/interpretability	results/E12	hg38 eval windows	GENERator 6-mer, BOS present	42	native causal-LM NLL	L4/r2371	existing
DNABERT-2 10-row tomography	DNABERT-2-117M	unpinned (transformers 4.29 env)	scripts/evaluation/run_sw_pairwise_epistasis.py	results/mechanism/pairwise_epistasis_dnabert2_reconstructed.json	GUE splice/reconstructed test	BPE, CLS present, max_length=80	42	task accuracy (pp)	10 SW rows, C(10,2)=45 pairs	existing
DNABERT L9/r264 x L9/r294 interaction	DNABERT-2-117M	unpinned	scripts/mechanism/run_codominance.py, run_compensation_circuit.py	results/mechanism/codominance_break_dnabert2.json, compensation_circuit.json	GUE splice test	BPE/CLS	42	accuracy pp + layer-9 residual norm	L9/r264 + L9/r294	existing
EXP1 activation extremeness vs causal damage	22 models	as census	scripts/census_analysis/run_activation_vs_causality.py	results/analyses/census_analysis/activation_vs_causality.tsv	join: census_master.csv x E13_candidate_stability	inherited	inherited (42)	Spearman rho vs R_cand eps0.5/1.0 and G gaps	frozen (no reselection)	newly implemented
