display_name	hf_repo	requested_revision	resolved_revision	revision_recoverable	domain	architecture	non_embedding_params	candidate_layer	candidate_row	selection_protocol	selection_rule_verbatim	activation_ratio	frozen_candidate_is_ratio_argmax	frozen_candidate_is_activation_argmax	candidate_source	note
DNABERT-2	zhihan1996/DNABERT-2-117M	7bce263b15377fc15361f52cfab88f8b586abda0	7bce263b15377fc15361f52cfab88f8b586abda0	TRUE	genomic	encoder	113925376	5	603	grandfathered activation	activation-argmax (grandfathered, pre-ratio-rule protocol; e7_legacy_reanalysis.json carries no ratio field at all)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	FALSE (this audit's diagnostic: ratio-argmax is L8/r603 at ratio 302.02, not the frozen L5/r603 at ratio 152.73)	TRUE (by construction of the legacy selection method)	results/e7_legacy_reanalysis.json	Fully reconciled in this audit -- see Section 6, DNABERT2_EXECUTION_PATH_DIAGNOSTIC.md
EuroBERT/EuroBERT-2.1B	EuroBERT/EuroBERT-2.1B	81245a4d71f43452badf5e04458e4ddb831ff109	81245a4d71f43452badf5e04458e4ddb831ff109	TRUE	text	encoder	1812089088	14	2198	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/E11/raw/eurobert-2.1b.json	
EuroBERT/EuroBERT-210m	EuroBERT/EuroBERT-210m	39b51e15dd1f1a06f58b5cbf6a8a188cec60bd0e	39b51e15dd1f1a06f58b5cbf6a8a188cec60bd0e	TRUE	text	encoder	113265408	3	300	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/E11/raw/eurobert-210m.json	
EuroBERT/EuroBERT-610m	EuroBERT/EuroBERT-610m	d9af784ed20db6c2096e335ec6a67dd4a219924c	d9af784ed20db6c2096e335ec6a67dd4a219924c	TRUE	text	encoder	460123776	13	762	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/E11/raw/eurobert-610m.json	
GENERator-EUK-3B	GenerTeam/GENERator-v2-eukaryote-3b-base	7dc01bccce5b65e15141170538afdc2ff09d8dde	7dc01bccce5b65e15141170538afdc2ff09d8dde	TRUE	genomic	decoder	2972900352	4	2371	grandfathered activation	activation-argmax (grandfathered, pre-ratio-rule protocol; e7_legacy_reanalysis.json carries no ratio field at all)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (verified round-2: ratio=7124.08, ratio_rank=1/n, identical under both add_special_tokens settings)	TRUE (by construction of the legacy selection method)	results/e7_legacy_reanalysis.json	Round-2 re-verified (audit/round2/section3_generator_euk_detector_recheck.json): both preprocessing conventions agree exactly, no discrepancy found; q1=0.968869 reproduces e7_legacy_reanalysis.json exactly
GenerTeam/GENERator-v2-prokaryote-1.2b-base	GenerTeam/GENERator-v2-prokaryote-1.2b-base	8b2f768b0d293953518ff91d34600f9322ef1f94	8b2f768b0d293953518ff91d34600f9322ef1f94	TRUE	genomic	decoder	1145153536	4	798	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/E11/raw/generator-prok-1.2b.json	
GenerTeam/GENERator-v2-prokaryote-3b-base	GenerTeam/GENERator-v2-prokaryote-3b-base	b18ac86df77359d894d7bc050cea78e2d0713021	b18ac86df77359d894d7bc050cea78e2d0713021	TRUE	genomic	decoder	2972900352	8	260	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/E11/raw/generator-prok-3b.json	
GenomeOcean-4B	DOEJGI/GenomeOcean-4B	2bed2fc3ed47c5f6955ba3e64563512c9b338dfb	2bed2fc3ed47c5f6955ba3e64563512c9b338dfb	TRUE	genomic	decoder	4228008960	1	2604	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/e7_phase1_detection_genomeocean.json	
HuggingFaceTB/SmolLM2-1.7B	HuggingFaceTB/SmolLM2-1.7B	effd688a12921b4cc83e3312b6feb579f70f9c71	effd688a12921b4cc83e3312b6feb579f70f9c71	TRUE	text	decoder	1610713088	7	227	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/E11/raw/smollm2-1.7b.json	
HuggingFaceTB/SmolLM2-135M	HuggingFaceTB/SmolLM2-135M	93efa2f097d58c2a74874c7e644dbc9b0cee75a2	93efa2f097d58c2a74874c7e644dbc9b0cee75a2	TRUE	text	decoder	106203456	11	507	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/E11/raw/smollm2-135m.json	
